"phenotype","fdr_threshold","contrast","model","up","down"
"mct","0.10","cvda_4gp21","basic","15","72"
"mct","0.10","cvda_4gp22","basic","11","88"
"mct","0.10","cvda_4gp23","basic","67","17"
"mct","0.10","cvda_4gp21","lifestyle","3","57"
"mct","0.10","cvda_4gp22","lifestyle","3","72"
"mct","0.10","cvda_4gp23","lifestyle","35","20"
"mct","0.10","cvda_4gp21","AD","3","61"
"mct","0.10","cvda_4gp22","AD","3","73"
"mct","0.10","cvda_4gp23","AD","32","15"
"mct","0.10","cvda_4gp21","path","3","59"
"mct","0.10","cvda_4gp22","path","4","59"
"mct","0.10","cvda_4gp23","path","19","13"
