"phenotype","model","contrast","rank","GOID","TERM","ONTOLOGY"
"art","AD","arteriol_scler3","parent_term_3","GO:0006099","tricarboxylic acid cycle","BP"
"art","path","arteriol_scler1","parent_term_1","GO:0046856","phosphatidylinositol dephosphorylation","BP"
"art","path","arteriol_scler1","parent_term_2","GO:0043328","protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway","BP"
"art","path","arteriol_scler1","parent_term_3","GO:0006919","activation of cysteine-type endopeptidase activity involved in apoptotic process","BP"
"art","path","arteriol_scler2","parent_term_1","GO:0002181","cytoplasmic translation","BP"
"art","path","arteriol_scler2","parent_term_2","GO:0045665","negative regulation of neuron differentiation","BP"
"art","path","arteriol_scler2","parent_term_3","GO:0021542","dentate gyrus development","BP"
"art","path","arteriol_scler3","parent_term_1","GO:0045599","negative regulation of fat cell differentiation","BP"
"art","path","arteriol_scler3","parent_term_2","GO:0006351","DNA-templated transcription","BP"
"art","path","arteriol_scler3","parent_term_3","GO:0008286","insulin receptor signaling pathway","BP"
"cvda","basic","cvda_4gp21","parent_term_1","GO:0002181","cytoplasmic translation","BP"
"cvda","basic","cvda_4gp21","parent_term_2","GO:0006888","endoplasmic reticulum to Golgi vesicle-mediated transport","BP"
"cvda","basic","cvda_4gp21","parent_term_3","GO:0042274","ribosomal small subunit biogenesis","BP"
"cvda","basic","cvda_4gp22","parent_term_1","GO:0006412","translation","BP"
"cvda","basic","cvda_4gp22","parent_term_2","GO:0042273","ribosomal large subunit biogenesis","BP"
"cvda","basic","cvda_4gp22","parent_term_3","GO:0032212","positive regulation of telomere maintenance via telomerase","BP"
"cvda","basic","cvda_4gp23","parent_term_1","GO:0002181","cytoplasmic translation","BP"
"cvda","basic","cvda_4gp23","parent_term_2","GO:0021510","spinal cord development","BP"
"cvda","basic","cvda_4gp23","parent_term_3","GO:0035902","response to immobilization stress","BP"
"cvda","lifestyle","cvda_4gp21","parent_term_1","GO:0002181","cytoplasmic translation","BP"
"cvda","lifestyle","cvda_4gp21","parent_term_2","GO:0042274","ribosomal small subunit biogenesis","BP"
"cvda","lifestyle","cvda_4gp21","parent_term_3","GO:0007007","inner mitochondrial membrane organization","BP"
"cvda","lifestyle","cvda_4gp22","parent_term_1","GO:0002181","cytoplasmic translation","BP"
