"phenotype","fdr_threshold","contrast","model","up","down"
"mct","0.05","ci_num2_mct1","basic","","proteolysis, fatty acid beta-oxidation"
"mct","0.05","ci_num2_mct1","lifestyle","","fatty acid beta-oxidation, intracellular protein transport, proteasome-mediated ubiquitin-dependent protein catabolic process, proteolysis, endoplasmic reticulum to Golgi vesicle-mediated transport, cellular response to oxidative stress, protein transport, inner mitochondrial membrane organization, translational initiation, Golgi organization, zinc ion transmembrane transport, ubiquitin-dependent protein catabolic process, multicellular organismal-level iron ion homeostasis"
"mct","0.05","ci_num2_mct1","AD","","intracellular protein transport, fatty acid beta-oxidation, endoplasmic reticulum to Golgi vesicle-mediated transport, proteasome-mediated ubiquitin-dependent protein catabolic process, proteolysis, protein transport, zinc ion transmembrane transport, inner mitochondrial membrane organization, cellular response to oxidative stress, translational initiation"
"mct","0.05","ci_num2_mct1","path","","intracellular protein transport, proteasome-mediated ubiquitin-dependent protein catabolic process, defense response to virus, response to virus, protein transport, proteolysis, fatty acid beta-oxidation, endoplasmic reticulum to Golgi vesicle-mediated transport"
