"phenotype","fdr_threshold","contrast","model","up","down"
"gct","0.05","ci_num2_gct1","basic","protein ubiquitination, proteasome-mediated ubiquitin-dependent protein catabolic process, protein K48-linked ubiquitination, protein polyubiquitination, ubiquitin-dependent protein catabolic process, cell division, positive regulation of telomere maintenance via telomerase, intracellular protein transport","positive regulation of excitatory postsynaptic potential, synapse organization, actin cytoskeleton organization, positive regulation of axonogenesis, chemical synaptic transmission, regulation of synaptic plasticity, vocalization behavior"
"gct","0.05","ci_num2_gct1","lifestyle","protein ubiquitination, proteasome-mediated ubiquitin-dependent protein catabolic process, protein K48-linked ubiquitination, ubiquitin-dependent protein catabolic process, protein polyubiquitination, cell division, G1/S transition of mitotic cell cycle, positive regulation of protein ubiquitination, DNA damage response","actin cytoskeleton organization"
"gct","0.05","ci_num2_gct1","AD","protein ubiquitination, proteasome-mediated ubiquitin-dependent protein catabolic process, protein K48-linked ubiquitination, ubiquitin-dependent protein catabolic process, protein polyubiquitination, cell division, DNA damage response, positive regulation of protein ubiquitination, positive regulation of telomere maintenance via telomerase, G1/S transition of mitotic cell cycle, protein dephosphorylation, positive regulation of mitochondrial fission","actin cytoskeleton organization"
"gct","0.05","ci_num2_gct1","path","proteasome-mediated ubiquitin-dependent protein catabolic process, protein ubiquitination, cell division, positive regulation of telomere maintenance via telomerase, protein K48-linked ubiquitination, regulation of macroautophagy, ubiquitin-dependent protein catabolic process, intracellular protein transport, protein polyubiquitination, positive regulation of mitochondrial fission, protein neddylation, positive regulation of protein ubiquitination, autophagosome maturation, protein transport","actin cytoskeleton organization, chemical synaptic transmission, potassium ion transmembrane transport, monoatomic ion transport, regulation of AMPA receptor activity, calcium ion import across plasma membrane, regulation of actin cytoskeleton organization, positive regulation of excitatory postsynaptic potential, long-term synaptic depression, associative learning, phagocytosis, calcium ion transmembrane transport, nervous system development, heart development"
