"intersection","n_genes","genes"
"basic & lifestyle",18,"GDI2, MCM6, SLC6A12, GPN3, DNAJC16, EMC1, COL5A1, SLC31A1, VAMP1, EIF5A2, TMEM184C, ALG10B, CFAP73, WDHD1, SMG1P2, AL450405.1, AC139768.1, AC009145.4"
"basic & AD",18,"GDI2, MCM6, SLC6A12, GPN3, DNAJC16, EMC1, COL5A1, SLC31A1, VAMP1, EIF5A2, TMEM184C, ALG10B, CFAP73, WDHD1, SMG1P2, AL450405.1, AC139768.1, AC009145.4"
"lifestyle & AD",46,"AGPS, GDI2, MRPS35, RHOA, MCM6, MAP2, COL5A3, LEPROTL1, TMEM97, SLC6A12, GPN3, RNGTT, EPB41L5, PCYOX1, DNAJC16, TMED5, EMC1, COL5A1, SLC31A1, ARL3, SLC39A8, VAMP1, MAP1LC3B, TIPRL, EIF3M, VPS37A, EEF1A1, EIF5A2, CXCL5, TMEM184C, CFL2, ABCD2, RPL15, ALG10B, MTX3, CFAP73, WDHD1, FAM169A, TNRC6C-AS1, SMG1P2, LINC00511, AL450405.1, OTUD6B-AS1, AC139768.1, AL365209.1, AC009145.4"
"basic & lifestyle & AD",18,"GDI2, MCM6, SLC6A12, GPN3, DNAJC16, EMC1, COL5A1, SLC31A1, VAMP1, EIF5A2, TMEM184C, ALG10B, CFAP73, WDHD1, SMG1P2, AL450405.1, AC139768.1, AC009145.4"
