"intersection","n_genes","genes"
"Cerebral_Amyloid_Angiopathy & Cerebral_Atherosclerosis",1,"DOCK6"
"Cerebral_Amyloid_Angiopathy & Arteriolosclerosis",1,"ALDH1A1"
"Cerebral_Atherosclerosis & Arteriolosclerosis",16,"CROT, GIPR, TXLNGY, ORC3, GEM, SERTAD3, MAFF, BDNF-AS, AC108002.1, AC010889.1, ATP1B3, SLC6A12, CSRNP1, DDOST, SLC4A11, PRKAG1"
